0,25,30,35,40,45,50,55,60,65,70
-15,13.86,13.78,13.7,13.85,14,14,14,14,14,14
-10,12,12.56,13.11,13.45,13.79,13.89,13.96,13.96,13.97,13.4
-7,12.53,12.87,13.2,13.55,13.89,13.94,13.97,13.97,13.97,13.3
-2,11.82,12.11,12.4,12.74,13.07,13.61,13.98,13.86,13.7,13.5
2,11.52,11.71,11.9,12.42,12.94,13.27,13.5,13.59,13.71,13.5
7,14,14,14,14,14,14,14,14.8,15.7,16.3
12,14.49,14.54,14.59,14.65,14.7,14.76,14.81,15.55,16.38,16.95
15,14.78,14.86,14.95,15.04,15.12,15.21,15.3,16.01,16.79,17.34
20,15.26,15.4,15.55,15.69,15.83,15.97,16.11,16.76,17.48,18
25,15.75,15.95,16.14,16.34,16.53,16.73,16.92,17.52,18.16,18.65
30,16.24,16.49,16.73,16.98,17.23,17.48,17.73,18.27,18.84,19.3
35,16.72,17.03,17.33,17.63,17.91,18.24,18.54,19.02,19.53,19.96
43,17.5,17.89,18.28,18.67,19.06,19.45,19.84,20.23,20.62,21
